Exercise_name,Exercise_count,Bodypart,Level,Type,YouTube Link
T-Bar Row,10 Reps x 4 Sets,Back,Intermediate,Strength,https://www.youtube.com/embed/JYfCEeLJgTU
Back Extensions (Hyperextensions),15 Reps x 3 Sets,Back,Beginner,Strength,https://www.youtube.com/embed/HkNx2lIbiRw
Superman,20 Reps x 3 Sets,Back,Beginner,Strength,https://www.youtube.com/embed/z8rV_FXrQks
Inverted Row,12 Reps x 3 Sets,Back,Beginner,Strength,https://www.youtube.com/embed/2k3iOe1vBMc
Renegade Row,10 Reps x 3 Sets,Back,Intermediate,Strength,https://www.youtube.com/embed/W_VG0fTn8Hc
Face Pulls,15 Reps x 3 Sets,Back,Beginner,Strength,https://www.youtube.com/embed/rep-qVOkqgk
Straight-Arm Pulldown,15 Reps x 3 Sets,Back,Intermediate,Strength,https://www.youtube.com/embed/kBWAon7ItDw
Wide-Grip Pull-up,8 Reps x 4 Sets,Back,Advanced,Strength,https://www.youtube.com/embed/eGo4IYlbE5g
Close-Grip Pulldown,12 Reps x 3 Sets,Back,Beginner,Strength,https://www.youtube.com/embed/RK1Z0r27z-0
Machine Row,12 Reps x 3 Sets,Back,Beginner,Strength,https://www.youtube.com/embed/GZbfZ033f74
Pendlay Row,8 Reps x 4 Sets,Back,Advanced,Strength,https://www.youtube.com/embed/9efgcAjQe7E
Rack Pulls,6 Reps x 4 Sets,Back,Advanced,Strength,https://www.youtube.com/embed/JkVHrA5o23o
Chin-up,10 Reps x 4 Sets,Back,Intermediate,Strength,https://www.youtube.com/embed/brhRXlOhsAM
Good Mornings (Back focus),12 Reps x 3 Sets,Back,Intermediate,Strength,https://www.youtube.com/embed/vzKz8-5kQ0I
Dumbbell Bicep Curl,12 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/ykJmrZ5v0Oo
Barbell Curl,10 Reps x 4 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/kwG2ipFRgfo
Hammer Curl,12 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/zC3nLlEvin4
Concentration Curl,15 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/ykfYHf0l5tc
Preacher Curl,12 Reps x 3 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/Gydj7WwG0yo
Cable Curl,12 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/knq2i0vjwSg
Incline Dumbbell Curl,12 Reps x 3 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/soxrZlIl35U
Spider Curl,12 Reps x 3 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/3uIqH3uRbhI
Zottman Curl,12 Reps x 3 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/1Pm0CX3wKfQ
21s (Bicep Curl),7/7/7 Reps x 3 Sets,Arms,Advanced,Strength,https://www.youtube.com/embed/3QcKaR1MZwU
Tricep Dips (Bench Dips),15 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/0326dy_-CzM
Overhead Tricep Extension (Dumbbell),12 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/_gsUck-7M74
Tricep Pushdown (Cable),15 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/2-LAMcpzODU
Close-Grip Bench Press,10 Reps x 4 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/YlI0nPt8E_g
Skullcrushers (EZ Bar),12 Reps x 3 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/d_KZxkY_0cM
Tricep Kickbacks,15 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/NWsB5OSV0qM
Diamond Push-ups,10 Reps x 3 Sets,Arms,Advanced,Strength,https://www.youtube.com/embed/ji5NwKDwMSg
Rope Pushdown,15 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/EbkgcXPB_nI
Single-Arm Cable Pushdown,12 Reps x 3 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/3nKZfjdOaEk
Weighted Dips,8 Reps x 4 Sets,Arms,Advanced,Strength,https://www.youtube.com/embed/XQOWPqn-Ue8
Wrist Curls (Dumbbell),20 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/ztx-UFHuEmI
Reverse Wrist Curls (Dumbbell),20 Reps x 3 Sets,Arms,Beginner,Strength,https://www.youtube.com/embed/qEwKCR5JCog
Farmer's Walk,30 Seconds x 4 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/3VcKaXpzqRo
Plate Pinches,30 Seconds x 3 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/6A5VjvSHW8U
Barbell Wrist Rolls,10 Reps x 3 Sets,Arms,Intermediate,Strength,https://www.youtube.com/embed/Qj6kMAf0x1s
Overhead Press (Barbell),10 Reps x 4 Sets,Shoulder,Intermediate,Strength,https://www.youtube.com/embed/F3QY5vMz_6I
Seated Dumbbell Press,12 Reps x 3 Sets,Shoulder,Intermediate,Strength,https://www.youtube.com/embed/B-aVuyhvLHU
Lateral Raises,15 Reps x 3 Sets,Shoulder,Beginner,Strength,https://www.youtube.com/embed/_hZCsgcKa-g
Front Raises (Dumbbell),15 Reps x 3 Sets,Shoulder,Beginner,Strength,https://www.youtube.com/embed/tDNC4T3t7pQ
Bent-Over Reverse Flyes,15 Reps x 3 Sets,Shoulder,Beginner,Strength,https://www.youtube.com/embed/VbZ9_C4-Qbo
Arnold Press,12 Reps x 3 Sets,Shoulder,Intermediate,Strength,https://www.youtube.com/embed/8fufc-v9s90
Upright Rows (Dumbbell),12 Reps x 3 Sets,Shoulder,Intermediate,Strength,https://www.youtube.com/embed/4T9UO0t6xU0
Shrugs (Barbell),15 Reps x 4 Sets,Shoulder,Beginner,Strength,https://www.youtube.com/embed/_QnemDEy-7g
Pike Push-ups,10 Reps x 3 Sets,Shoulder,Intermediate,Strength,https://www.youtube.com/embed/4O-jv0F4WFw
Handstand Push-ups,5 Reps x 3 Sets,Shoulder,Advanced,Strength,https://www.youtube.com/embed/I0MEBx3EJ3E
Barbell Squat,10 Reps x 4 Sets,Legs,Intermediate,Strength,https://www.youtube.com/embed/W3zLMVh1V60
Goblet Squat,12 Reps x 3 Sets,Legs,Beginner,Strength,https://www.youtube.com/embed/aclHkVaku9U
Lunges,12 Reps (per leg) x 3 Sets,Legs,Beginner,Strength,https://www.youtube.com/embed/nEQQle9-0NA
Leg Press,15 Reps x 3 Sets,Legs,Beginner,Strength,https://www.youtube.com/embed/2C-uNgKwPLE
Romanian Deadlift (RDL),12 Reps x 3 Sets,Legs,Intermediate,Strength,https://www.youtube.com/embed/7Hn9u8LD9M4
Leg Curls (Hamstrings),15 Reps x 3 Sets,Legs,Beginner,Strength,https://www.youtube.com/embed/Yg4b4PjK5pA
Leg Extensions (Quads),15 Reps x 3 Sets,Legs,Beginner,Strength,https://www.youtube.com/embed/8Mglv9zIhGk
Calf Raises,20 Reps x 4 Sets,Legs,Beginner,Strength,https://www.youtube.com/embed/soTGMKp5FNg
Bulgarian Split Squat,10 Reps (per leg) x 3 Sets,Legs,Intermediate,Strength,https://www.youtube.com/embed/2C-uNgKwPLE
Pistol Squat,5 Reps (per leg) x 3 Sets,Legs,Advanced,Strength,https://www.youtube.com/embed/qDcYgjZ-6t4
Box Jumps,10 Reps x 3 Sets,Legs,Advanced,Strength,https://www.youtube.com/embed/-iG6rZhL8S4
Walking Lunges,10 Reps (per leg) x 3 Sets,Legs,Beginner,Strength,https://www.youtube.com/embed/D7KaRcUTQeE
Glute Bridges,15 Reps x 3 Sets,Legs,Beginner,Strength,https://www.youtube.com/embed/wPM8icPu6H8
Hip Thrusts,12 Reps x 4 Sets,Legs,Intermediate,Strength,https://www.youtube.com/embed/MYfF2CcnR6k
Front Squat,10 Reps x 4 Sets,Legs,Intermediate,Strength,https://www.youtube.com/embed/tlfahNdNPPI
Crunches,20 Reps x 3 Sets,Abs,Beginner,Strength,https://www.youtube.com/embed/Xyd_fa5zoEU
Leg Raises,20 Reps x 3 Sets,Abs,Beginner,Strength,https://www.youtube.com/embed/JB2oyawG9KI
Plank,60 Seconds x 3 Sets,Abs,Beginner,Strength,https://www.youtube.com/embed/pSHjTRCQxIw
Russian Twists,20 Reps (total) x 3 Sets,Abs,Beginner,Strength,https://www.youtube.com/embed/wkD8rjkodUI
Bicycle Crunches,30 Reps (total) x 3 Sets,Abs,Beginner,Strength,https://www.youtube.com/embed/9FGilxCbdz8
V-Ups,15 Reps x 3 Sets,Abs,Intermediate,Strength,https://www.youtube.com/embed/1FBVzxkXn4c
Hanging Knee Raises,15 Reps x 3 Sets,Abs,Intermediate,Strength,https://www.youtube.com/embed/Xy-4D_Q-KwY
Hanging Leg Raises,12 Reps x 3 Sets,Abs,Advanced,Strength,https://www.youtube.com/embed/0t54qLk0xSg
Ab Rollout,10 Reps x 3 Sets,Abs,Intermediate,Strength,https://www.youtube.com/embed/E5fnIfYxSYE
Cable Crunches,15 Reps x 3 Sets,Abs,Intermediate,Strength,https://www.youtube.com/embed/VlVsfDofRII
Side Plank,45 Seconds (per side) x 3 Sets,Abs,Beginner,Strength,https://www.youtube.com/embed/K2VljzCC16g
Mountain Climbers,45 Seconds x 3 Sets,Abs,Beginner,Strength,https://www.youtube.com/embed/cnyTQDSE884
Scissor Kicks,30 Reps (total) x 3 Sets,Abs,Beginner,Strength,https://www.youtube.com/embed/i6Tg7PJD4t0
Toe Touches,20 Reps x 3 Sets,Abs,Intermediate,Strength,https://www.youtube.com/embed/wzRVDd0_6FA
Dragon Flag,5 Reps x 3 Sets,Abs,Advanced,Strength,https://www.youtube.com/embed/NR0nYDl9tAQ
Running (Treadmill),30 Minutes,Full Body,Intermediate,Cardio,https://www.youtube.com/embed/3iNZ6sC5tX8
Jumping Jacks,1 Minute x 3 Sets,Full Body,Beginner,Cardio,https://www.youtube.com/embed/c4DAnQ6DtF8
Burpees,10 Reps x 3 Sets,Full Body,Advanced,Cardio,https://www.youtube.com/embed/dZgVxmf6jkA
Cycling (Stationary),20 Minutes,Full Body,Beginner,Cardio,https://www.youtube.com/embed/YfK8K4GzogY
High Knees,45 Seconds x 3 Sets,Full Body,Beginner,Cardio,https://www.youtube.com/embed/OAJ_J3EZkdY
Rowing Machine,15 Minutes,Full Body,Intermediate,Cardio,https://www.youtube.com/embed/eqVmMd7FdAA
Jump Rope,5 Minutes x 3 Sets,Full Body,Intermediate,Cardio,https://www.youtube.com/embed/1BZMdz4FxNo
Elliptical Trainer,20 Minutes,Full Body,Beginner,Cardio,https://www.youtube.com/embed/mH9TFueLRvI
Sprints,100 Meters x 5,Full Body,Advanced,Cardio,https://www.youtube.com/embed/2RkbG7STk8s
Stair Climber,10 Minutes,Full Body,Intermediate,Cardio,https://www.youtube.com/embed/X9mF1b5hvDg
Hamstring Stretch,30 Seconds (per side) x 2,Legs,Beginner,Stretching,https://www.youtube.com/embed/xhQ2XQkK7z8
Quadricep Stretch,30 Seconds (per side) x 2,Legs,Beginner,Stretching,https://www.youtube.com/embed/0ToRQuRQb5A
Chest Stretch (Doorway),30 Seconds x 2,Chest,Beginner,Stretching,https://www.youtube.com/embed/sjJwqDa1QVI
Tricep Stretch,30 Seconds (per side) x 2,Arms,Beginner,Stretching,https://www.youtube.com/embed/BJ5Rjcg6E7g
Shoulder Stretch (Cross-body),30 Seconds (per side) x 2,Shoulder,Beginner,Stretching,https://www.youtube.com/embed/ru4v0MZX2cc
Calf Stretch,30 Seconds (per side) x 2,Legs,Beginner,Stretching,https://www.youtube.com/embed/i1eJqJ3v3lQ
Cobra Pose,30 Seconds x 2,Back,Beginner,Stretching,https://www.youtube.com/embed/YYudWYM5Q9g
Child's Pose,60 Seconds x 1,Back,Beginner,Stretching,https://www.youtube.com/embed/2MJGg-dUKh0
Hip Flexor Lunge Stretch,30 Seconds (per side) x 2,Legs,Beginner,Stretching,https://www.youtube.com/embed/tsGPYSQbZx4
Figure-Four Stretch (Glutes),30 Seconds (per side) x 2,Legs,Beginner,Stretching,https://www.youtube.com/embed/OcfcKXTaEkA
